,Wavelength,SPIRE_500,SPIRE_350,SPIRE_250,dlambda
379,436.311,0.471978,0.00146331,2.12133e-05,1.912
380,438.223,0.473342,0.00122276,2.08004e-05,1.929
381,440.152,0.483813,0.00108015,2.06397e-05,1.946
382,442.098,0.49581,0.000980133,2.05157e-05,1.963
383,444.061,0.50054,0.000866742,1.97998e-05,1.782
384,445.843,0.498034,0.000755563,1.88762e-05,1.996
385,447.839,0.502163,0.000662034,1.81554e-05,2.015
386,449.854,0.480023,0.000560773,1.66195e-05,2.033
387,451.887,0.475802,0.000492058,1.54944e-05,1.845
388,453.732,0.476312,0.000440288,1.43791e-05,2.068
389,455.8,0.472746,0.000415346,1.33581e-05,2.087
390,457.887,0.472471,0.000404374,1.22872e-05,2.106
391,459.993,0.490924,0.000399903,1.18365e-05,2.126
392,462.119,0.508694,0.000385407,1.1563e-05,1.93
393,464.049,0.514337,0.000364403,1.11244e-05,2.163
394,466.212,0.535289,0.000349387,1.07627e-05,2.184
395,468.396,0.528998,0.000322962,9.98201e-06,2.204
396,470.6,0.524847,0.000295774,9.15633e-06,2.225
397,472.825,0.508794,0.000261136,8.22254e-06,2.021
398,474.846,0.506634,0.0,7.30027e-06,2.265
399,477.111,0.48868,0.0,6.47451e-06,2.287
400,479.398,0.488107,0.0,6.01316e-06,2.31
401,481.708,0.481035,0.0,5.48002e-06,2.097
402,483.805,0.49765,0.0,5.34246e-06,2.352
403,486.157,0.515213,0.0,5.16056e-06,2.375
404,488.532,0.527766,0.0,4.99735e-06,2.398
405,490.93,0.533051,0.0,4.6738e-06,2.422
406,493.352,0.527167,0.0,4.22079e-06,2.201
407,495.553,0.529102,0.0,3.67364e-06,2.467
408,498.02,0.527928,0.0,3.05839e-06,2.493
409,500.513,0.533129,0.0,2.56729e-06,2.518
410,503.031,0.535473,0.0,2.21409e-06,2.543
411,505.574,0.531421,0.0,1.89942e-06,2.311
412,507.885,0.522515,0.0,1.703e-06,2.592
413,510.477,0.535345,0.0,1.64477e-06,2.62
414,513.097,0.549009,0.0,1.60686e-06,2.646
415,515.743,0.538968,0.0,1.72474e-06,2.405
416,518.148,0.549516,0.0,1.91345e-06,2.698
417,520.846,0.555999,0.0,2.12162e-06,2.727
418,523.573,0.541923,0.0,2.34504e-06,2.756
419,526.329,0.548854,0.0,2.54864e-06,2.785
420,529.114,0.569544,0.0,2.62097e-06,2.531
421,531.645,0.603265,0.0,2.69822e-06,2.842
422,534.487,0.600132,0.0,2.79848e-06,2.872
423,537.359,0.611615,0.0,3.0257e-06,2.903
424,540.262,0.623403,0.0,3.2774e-06,2.935
425,543.197,0.615125,0.0,3.68214e-06,2.668
426,545.865,0.618413,0.0,4.14519e-06,2.996
427,548.861,0.60158,0.0,4.31338e-06,3.029
428,551.89,0.598955,0.0,4.4769e-06,3.063
429,554.953,0.617034,0.0,4.75973e-06,2.786
430,557.739,0.603523,0.0,4.79259e-06,3.128
431,560.867,0.62801,0.0,4.99636e-06,3.163
432,564.03,0.679701,0.0,5.32748e-06,3.199
433,567.229,0.69457,0.0,5.25012e-06,3.236
434,570.465,0.710203,0.0,5.05315e-06,2.944
435,573.409,0.710386,0.0,4.80639e-06,3.307
436,576.716,0.699648,0.0,4.48503e-06,3.345
437,580.061,0.687381,0.0,4.32024e-06,3.384
438,583.445,0.703833,0.0,4.44343e-06,3.08
439,586.525,0.702946,0.0,4.50042e-06,3.46
